company,skills
AbsolutData Research & Analytics  ( P )  Ltd,"telecommunication  ,  big data  ,  cli  ,  python  ,  nosql  ,  artificial neural networks  ,  hive  ,  algorithms  ,  ensemble  ,  database management  ,  hadoop  ,  cloud computing  ,  mongodb  ,  rdbms  ,  natural language processing  ,  engagement manager  ,  problem solving  ,  machine learning"
NLP People,"data mining  ,  machine learning  ,  artificial intelligence"
TheDataTeam,"scala  ,  bi  ,  sql  ,  big data  ,  python  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"big data  ,  python  ,  director  ,  algorithms  ,  scala  ,  cloud computing  ,  san  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  cloud computing  ,  big data  ,  san  ,  python  ,  director  ,  machine learning  ,  infrastructure"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  ds  ,  sql  ,  cloud computing  ,  big data  ,  san  ,  python  ,  machine learning  ,  infrastructure"
WALMART INDIA,"information technology  ,  scala  ,  database  ,  java  ,  python  ,  machine learning  ,  forms"
WALMART INDIA,"information technology  ,  python  ,  director  ,  mining  ,  scala  ,  san  ,  c  ,  machine learning  ,  forms"
aitouch llp,"scala  ,  erlang  ,  artificial intelligence  ,  docker  ,  spring  ,  java  ,  devops  ,  mqtt  ,  python  ,  natural language processing  ,  machine learning  ,  javascript  ,  nosql  ,  node.js  ,  cassandra"
APPLYCUP HIRING SOLUTIONS LLP,"scala  ,  erlang  ,  artificial intelligence  ,  docker  ,  spring  ,  java  ,  devops  ,  mqtt  ,  python  ,  natural language processing  ,  machine learning  ,  javascript  ,  nosql  ,  node.js  ,  cassandra"
identh consolidated,"hive  ,  hql  ,  scala  ,  javascript  ,  pig  ,  node.js  ,  database  ,  java  ,  apache  ,  mapreduce  ,  ooad  ,  flume  ,  hadoop  ,  sqoop  ,  technical skills  ,  hbase"
Morgan Stanley Pvt Ltd,"artificial intelligence  ,  digitization  ,  python  ,  algorithms  ,  sql  ,  machine learning  ,  written communication"
WALMART INDIA,"c    ,  information technology  ,  linear programming  ,  artificial intelligence  ,  java  ,  python  ,  nosql  ,  algorithms  ,  scala  ,  storage  ,  sql  ,  database  ,  machine learning  ,  forms"
AMAZON INDIA PVT LTD,"software engineering  ,  python  ,  c  ,  mining  ,  machine learning  ,  written communication"
